Designator,Mid X,Mid Y,Layer,Rotation
D22,23.35,19.59,Top,130.0
D23,15.24,26.40,Top,150.0
D24, 5.29,30.02,Top,170.0
D25,-5.29,30.02,Top,190.0
D26,-15.24,26.40,Top,210.0
D27,-23.35,19.59,Top,230.0
D28,-28.64,10.42,Top,250.0
D29,-30.48, 0.00,Top,270.0
D30,-28.64,-10.42,Top,290.0
D31,-23.35,-19.59,Top,310.0
D32,-15.24,-26.40,Top,330.0
D33,-5.29,-30.02,Top,350.0
D34, 5.29,-30.02,Top,10.0
D35,15.24,-26.40,Top,30.0
D36,23.35,-19.59,Top,50.0
D37,28.64,-10.42,Top,70.0
D38,40.64, 0.00,Top,90.0
D39,39.26,10.52,Top,105.0
D40,35.20,20.32,Top,120.0
D41,28.74,28.74,Top,135.0
D42,20.32,35.20,Top,150.0
D43,10.52,39.26,Top,165.0
D44, 0.00,40.64,Top,180.0
D45,-10.52,39.26,Top,195.0
D46,-20.32,35.20,Top,210.0
D47,-28.74,28.74,Top,225.0
D48,-35.20,20.32,Top,240.0
D49,-39.26,10.52,Top,255.0
D50,-40.64, 0.00,Top,270.0
D51,-39.26,-10.52,Top,285.0
D52,-35.20,-20.32,Top,300.0
D53,-28.74,-28.74,Top,315.0
D54,-20.32,-35.20,Top,330.0
D55,-10.52,-39.26,Top,345.0
D56, 0.00,-40.64,Top,0.0
D57,10.52,-39.26,Top,15.0
D58,20.32,-35.20,Top,30.0
D59,28.74,-28.74,Top,45.0
D60,35.20,-20.32,Top,60.0
D61,39.26,-10.52,Top,75.0
D62,50.80, 0.00,Top,90.0
D63,49.69,10.56,Top,102.0
D64,46.41,20.66,Top,114.0
D65,41.10,29.86,Top,126.0
D66,33.99,37.75,Top,138.0
D67,25.40,43.99,Top,150.0
D68,15.70,48.31,Top,162.0
D69, 5.31,50.52,Top,174.0
D70,-5.31,50.52,Top,186.0
D71,-15.70,48.31,Top,198.0
D72,-25.40,43.99,Top,210.0
D73,-33.99,37.75,Top,222.0
D74,-41.10,29.86,Top,234.0
D75,-46.41,20.66,Top,246.0
D76,-49.69,10.56,Top,258.0
D77,-50.80, 0.00,Top,270.0
D78,-49.69,-10.56,Top,282.0
D79,-46.41,-20.66,Top,294.0
D80,-41.10,-29.86,Top,306.0
D81,-33.99,-37.75,Top,318.0
D82,-25.40,-43.99,Top,330.0
D83,-15.70,-48.31,Top,342.0
D84,-5.31,-50.52,Top,354.0
D85, 5.31,-50.52,Top,6.0
D86,15.70,-48.31,Top,18.0
D87,25.40,-43.99,Top,30.0
D88,33.99,-37.75,Top,42.0
D89,41.10,-29.86,Top,54.0
D90,46.41,-20.66,Top,66.0
D91,49.69,-10.56,Top,78.0
D92,60.96, 0.00,Top,90.0
D93,60.03,10.59,Top,100.0
D94,57.28,20.85,Top,110.0
D95,52.79,30.48,Top,120.0
D96,46.70,39.18,Top,130.0
D97,39.18,46.70,Top,140.0
D98,30.48,52.79,Top,150.0
D99,20.85,57.28,Top,160.0
D100,10.59,60.03,Top,170.0
D101, 0.00,60.96,Top,180.0
D102,-10.59,60.03,Top,190.0
D103,-20.85,57.28,Top,200.0
D104,-30.48,52.79,Top,210.0
D105,-39.18,46.70,Top,220.0
D106,-46.70,39.18,Top,230.0
D107,-52.79,30.48,Top,240.0
D108,-57.28,20.85,Top,250.0
D109,-60.03,10.59,Top,260.0
D110,-60.96, 0.00,Top,270.0
D111,-60.03,-10.59,Top,280.0
D112,-57.28,-20.85,Top,290.0
D113,-52.79,-30.48,Top,300.0
D114,-46.70,-39.18,Top,310.0
D115,-39.18,-46.70,Top,320.0
D116,-30.48,-52.79,Top,330.0
D117,-20.85,-57.28,Top,340.0
D118,-10.59,-60.03,Top,350.0
D119, 0.00,-60.96,Top,0.0
D120,10.59,-60.03,Top,10.0
D121,20.85,-57.28,Top,20.0
D122,30.48,-52.79,Top,30.0
D123,39.18,-46.70,Top,40.0
D124,46.70,-39.18,Top,50.0
D125,52.79,-30.48,Top,60.0
D126,57.28,-20.85,Top,70.0
D127,60.03,-10.59,Top,80.0
D128,71.12, 0.00,Top,90.0
D129,70.33,10.60,Top,98.0
D130,67.96,20.96,Top,107.0
D131,64.08,30.85,Top,115.0
D132,58.76,40.07,Top,124.0
D133,52.13,48.38,Top,132.0
D134,44.34,55.60,Top,141.0
D135,35.56,61.59,Top,150.0
D136,25.98,66.20,Top,158.0
D137,15.83,69.34,Top,167.0
D138, 5.32,70.92,Top,175.0
D139,-5.32,70.92,Top,184.0
D140,-15.83,69.34,Top,192.0
D141,-25.98,66.20,Top,201.0
D142,-35.56,61.59,Top,210.0
D143,-44.34,55.60,Top,218.0
D144,-52.13,48.38,Top,227.0
D145,-58.76,40.07,Top,235.0
D146,-64.08,30.85,Top,244.0
D147,-67.96,20.96,Top,252.0
D148,-70.33,10.60,Top,261.0
D149,-71.12, 0.00,Top,270.0
D150,-70.33,-10.60,Top,278.0
D151,-67.96,-20.96,Top,287.0
D152,-64.08,-30.85,Top,295.0
